20211231,1030,14214980300,14214980300.0,0.48,1,
20211231,1130,5752393300,5752393300.0,-0.12,1,
20211231,1400,5793082000,5793082000.0,0.15,1,
20211231,1500,7207737600,7207737600.0,0.06,1,
20220104,1030,18704439100,18704439100.0,-0.69,1,
20220104,1130,7382377200,7382377200.0,0.34,1,
20220104,1400,6654231000,6654231000.0,0.22,1,
20220104,1500,7761729600,7761729600.0,-0.07,1,
20220105,1030,19009020400,1.0162839,-0.92,18704439100,
20220105,1130,8510497800,1.15281265,0.11,7382377200,
20220105,1400,7586106300,1.14004252,-0.47,6654231000,
20220105,1500,7284578300,0.93852513,0.27,7761729600,
20220106,1030,15840745600,0.83332782,-0.9,19009020400,
20220106,1130,7411332900,0.87084599,0.75,8510497800,
20220106,1400,6747880600,0.88950515,0.03,7586106300,
20220106,1500,7154095200,0.98208776,-0.12,7284578300,
20220107,1030,18745806600,1.18339168,0.32,15840745600,
20220107,1130,8725671400,1.17734172,0.03,7411332900,
20220107,1400,6947068100,1.02951853,0.0,6747880600,
20220107,1500,9212150000,1.28767506,-0.53,7154095200,
20220110,1030,17839779900,0.95166777,0.09,18745806600,
20220110,1130,5480867000,0.62813126,0.15,8725671400,
20220110,1400,5634940700,0.81112501,-0.01,6947068100,
20220110,1500,6666673400,0.72368268,0.15,9212150000,
20220111,1030,15802904100,0.88582394,0.14,17839779900,
20220111,1130,6249953200,1.140322,-0.22,5480867000,
20220111,1400,6445697100,1.1438802,-0.5,5634940700,
20220111,1500,7477631900,1.12164365,-0.15,6666673400,
20220112,1030,15888473100,1.00541476,0.3,15802904100,
20220112,1130,5595297700,0.89525434,0.05,6249953200,
20220112,1400,5683020700,0.88167666,0.37,6445697100,
20220112,1500,7146504100,0.95571756,0.12,7477631900,
20220113,1030,17711612600,1.11474605,-0.22,15888473100,
20220113,1130,6006442300,1.07348038,-0.09,5595297700,
20220113,1400,5865269500,1.032069,-0.63,5683020700,
20220113,1500,7353512100,1.02896633,-0.23,7146504100,
20220114,1030,15969795300,0.90165676,-0.42,17711612600,
20220114,1130,6489152600,1.08036543,-0.17,6006442300,
20220114,1400,6817407000,1.16233483,-0.04,5865269500,
20220114,1500,8417347500,1.14467038,-0.32,7353512100,
20220117,1030,14193088100,0.88874577,0.32,15969795300,
20220117,1130,5766415800,0.88862386,0.27,6489152600,
20220117,1400,5020924800,0.736486,0.07,6817407000,
20220117,1500,6308244600,0.74943379,-0.08,8417347500,
20220118,1030,14810271800,1.04348481,0.38,14193088100,
20220118,1130,9736016100,1.68839994,0.55,5766415800,
20220118,1400,6234667200,1.24173682,-0.36,5020924800,
20220118,1500,6933688400,1.09914704,0.22,6308244600,
20220119,1030,15852319200,1.07035978,0.14,14810271800,
20220119,1130,6081653700,0.62465526,-0.42,9736016100,
20220119,1400,5276876600,0.84637663,-0.44,6234667200,
20220119,1500,6112677400,0.88159102,0.4,6933688400,
20220120,1030,14877192300,0.9384868,0.06,15852319200,
20220120,1130,7991076900,1.31396447,0.22,6081653700,
20220120,1400,7425660200,1.40720748,-0.26,5276876600,
20220120,1500,7657055200,1.25265161,-0.12,6112677400,
20220121,1030,14997483800,1.00808563,-0.45,14877192300,
20220121,1130,5366516400,0.6715636,-0.38,7991076900,
20220121,1400,5169035800,0.69610454,0.07,7425660200,
20220121,1500,7120452000,0.92992042,-0.15,7657055200,
20220124,1030,12934089400,0.86241729,-0.22,14997483800,
20220124,1130,5421837100,1.01030849,0.42,5366516400,
20220124,1400,4518238200,0.87409691,-0.27,5169035800,
20220124,1500,5152669500,0.7236436,0.11,7120452000,
