20220125,1400,1.19435106,-13.15,-0.41
20220125,1130,0.66972456,-4.25,-0.13
20220125,1030,1.00002957,-20.474,-0.64
20220124,1500,0.85190824,8.51,0.27
20220124,1400,0.9027146,-15.695,-0.49
20220124,1130,1.16214519,15.205,0.47
20220124,1030,0.77097667,-17.015,-0.53
20220121,1400,0.64695584,1.739,0.05
20220121,1130,0.62294901,-9.399,-0.29
20220121,1030,1.02558733,-8.021,-0.25
20220121,1500,0.75860275,0.72,0.02
20220120,1500,1.4369945,2.37,0.07
20220120,1400,1.60427683,-9.18,-0.28
20220120,1130,1.5669297,16.31,0.51
20220120,1030,1.02605745,37.008,1.16
20220119,1500,0.74538795,12.2,0.38
20220119,1400,1.00998367,-12.804,-0.4
20220119,1130,0.49192355,-12.536,-0.39
20220119,1030,1.32610751,12.806,0.4
20220118,1030,1.04088518,23.381,0.74
20220118,1500,1.3134438,9.14,0.29
20220118,1400,1.17597416,-13.98,-0.44
20220118,1130,1.79576153,21.28,0.67
20220117,1500,0.71139469,-4.12,-0.13
20220117,1130,1.25524972,11.025,0.35
20220117,1030,0.69237322,2.335,0.07
20220117,1400,0.72221906,-0.585,-0.02
20220114,1500,1.18953183,-12.86,-0.41
20220114,1400,0.98875302,-0.997,-0.03
20220114,1130,0.87701685,-8.053,-0.25
20220114,1030,0.94858849,-23.147,-0.73
20220113,1130,1.08253726,-9.82,-0.3
20220113,1500,1.03743961,-8.26,-0.26
20220113,1400,1.11695293,-27.81,-0.86
20220113,1030,1.06690558,-6.308,-0.19
20220112,1130,0.95556566,3.91,0.12
20220112,1030,1.21976615,3.351,0.1
20220112,1500,0.91518785,-1.34,-0.04
20220112,1400,0.99430169,15.86,0.49
20220111,1500,1.18245282,-5.78,-0.18
20220111,1400,1.05309706,-12.97,-0.4
20220111,1130,1.07574233,-9.36,-0.29
20220111,1030,0.72897283,6.524,0.2
20220110,1400,0.72375815,-2.487,-0.08
20220110,1130,0.50484533,2.667,0.08
20220110,1030,1.11564472,5.213,0.16
20220110,1500,0.75783264,7.46,0.23
20220107,1500,1.310147,-12.02,-0.37
