20220125,1400,1.26849408,-9.85,-0.07
20220125,1330,1.20227087,-65.56,-0.47
20220125,1130,0.79702882,-65.35,-0.47
20220125,1100,1.18642244,51.22,0.37
20220125,1030,1.47462847,-93.3,-0.67
20220125,1000,1.09953912,-57.65,-0.41
20220124,1330,0.86960426,17.1,0.12
20220124,1000,0.83074587,-11.5,-0.08
20220124,1030,0.74598519,-9.26,-0.07
20220124,1100,0.92487142,49.73,0.35
20220124,1130,1.04467228,49.07,0.35
20220124,1400,0.86532681,-49.09,-0.35
20220124,1430,0.86844167,-0.51,0.0
20220124,1500,0.82215121,6.71,0.05
20220121,1500,0.84127259,7.44,0.05
20220121,1430,0.68335065,-21.42,-0.15
20220121,1400,0.88008415,45.79,0.33
20220121,1330,0.82813138,-40.49,-0.29
20220121,1130,0.6910503,-34.74,-0.25
20220121,1100,0.61669827,-48.84,-0.35
20220121,1030,1.01973288,-14.31,-0.1
20220121,1000,0.95697792,-62.18,-0.44
20220120,1500,1.21796287,-9.07,-0.06
20220120,1430,1.22553286,0.01,0.0
20220120,1330,1.03698101,-16.3,-0.11
20220120,1130,1.18819806,83.97,0.59
20220120,1100,1.23287257,-85.89,-0.6
20220120,1030,1.00374086,19.1,0.13
20220120,1000,0.97948482,27.24,0.19
20220120,1400,0.92098923,-27.95,-0.2
20220119,1100,0.83956713,-86.12,-0.6
20220119,1330,0.81818046,-35.45,-0.25
20220119,1000,0.90458064,-69.78,-0.48
20220119,1030,0.81197866,10.31,0.07
20220119,1130,0.75397398,-21.84,-0.15
20220119,1400,1.1057308,-60.35,-0.43
20220119,1430,0.95371657,35.57,0.25
20220119,1500,0.92553933,43.46,0.31
20220118,1000,1.04677699,50.56,0.35
20220118,1500,0.96938199,23.2,0.16
20220118,1430,1.01938787,3.58,0.02
20220118,1400,0.89028172,-9.15,-0.06
20220118,1330,1.13385857,-32.66,-0.23
20220118,1130,1.36055188,-29.01,-0.2
20220118,1100,1.14367601,8.63,0.06
20220118,1030,1.21280889,12.67,0.09
20220117,1500,0.90288091,8.22,0.06
20220117,1430,0.80609523,-17.36,-0.12
